TaskID,TaskName,Type,Importance,Duration,DayOfWeek,StartTime,EndTime,UserID
2104,Swimming,Personal,Normal,30,Thursday,8:45,9:15,user1
2105,Design a presentation,Work,More Important,60,Friday,9:00,10:00,user1
2106,Online course session,Education,Important,45,Wednesday,18:15,19:00,user1
2107,Take notes from an eBook,Education,Important,30,Sunday,16:00,16:30,user1
2108,Paint a picture,Personal,Normal,45,Sunday,16:45,17:30,user1
2109,Water the plants,Personal,Normal,60,Monday,9:45,10:45,user1
2110,Join an online gaming session,Personal,Less Important,60,Sunday,21:45,22:45,user1
2111,Yoga session,Personal,Normal,45,Saturday,6:00,6:45,user1
2112,Learn Python,Education,Important,30,Thursday,16:30,17:00,user1
2113,Attend webinar,Education,Important,45,Thursday,12:00,12:45,user1
2114,Play guitar,Personal,Normal,45,Tuesday,18:30,19:15,user1
2115,Pick up package,Personal,More Important,30,Thursday,10:15,10:45,user1
2116,Home workout,Personal,Normal,60,Friday,7:30,8:30,user1
2117,Stream live concert,Personal,Less Important,30,Saturday,20:45,21:15,user1
2118,Edit a short video,Personal,Normal,30,Thursday,19:45,20:15,user1
2119,Solve math problems,Education,More Important,60,Saturday,15:45,16:45,user1
2120,Strategy discussion,Work,Important,30,Monday,12:30,13:00,user1
2121,Home workout,Personal,Normal,30,Friday,6:15,6:45,user1
2122,Read research paper,Education,Important,45,Wednesday,21:00,21:45,user1
2123,Summarize a chapter,Education,More Important,60,Thursday,9:00,10:00,user1
2124,Cycling,Personal,Normal,30,Sunday,7:30,8:00,user1
2125,Write a poem,Personal,Normal,45,Thursday,14:00,14:45,user1
2126,Visit pharmacy,Personal,More Important,45,Monday,15:30,16:15,user1
2127,Write a summary of today's learnings,Education,More Important,45,Tuesday,18:15,19:00,user1
2128,Clean the kitchen,Personal,Normal,30,Friday,19:00,19:30,user1
2129,One-on-one with supervisor,Work,Important,60,Saturday,10:15,11:15,user1
2130,Dinner with friends,Personal,Less Important,45,Wednesday,19:00,19:45,user1
2131,Read comics,Personal,Less Important,60,Friday,21:00,22:00,user1
2132,Respond to work emails,Work,More Important,60,Wednesday,16:45,17:45,user1
2133,Evening gym workout,Personal,Normal,60,Saturday,19:30,20:30,user1
2134,Read a book,Education,More Important,30,Thursday,11:30,12:00,user1
2135,Learn Python,Education,Important,30,Wednesday,14:30,15:00,user1
2136,Read a technical article,Education,Important,45,Wednesday,10:45,11:30,user1
2137,Organize closet,Personal,Normal,60,Tuesday,12:45,13:45,user1
2138,Join online group chat,Personal,Less Important,30,Tuesday,20:15,20:45,user1
2139,Edit a short video,Personal,Normal,30,Saturday,18:15,18:45,user1
2140,Attend a birthday party,Personal,Less Important,60,Saturday,18:30,19:30,user1
2141,Take notes from an eBook,Education,Important,60,Wednesday,12:00,13:00,user1
2142,Join an online gaming session,Personal,Less Important,60,Thursday,18:45,19:45,user1
2143,Read a technical article,Education,Important,30,Sunday,12:00,12:30,user1
2144,Attend webinar,Education,Important,30,Sunday,16:30,17:00,user1
2145,Review lecture notes,Education,More Important,30,Monday,17:45,18:15,user1
2146,Attend a birthday party,Personal,Less Important,45,Friday,17:30,18:15,user1
2147,Sketch a design,Personal,Normal,45,Tuesday,16:15,17:00,user1
2148,Jogging,Personal,Normal,30,Friday,7:45,8:15,user1
2149,Hang out at a cafe,Personal,Less Important,45,Wednesday,15:00,15:45,user1
2150,Online course session,Education,Important,60,Monday,13:45,14:45,user1
2151,Paint a picture,Personal,Normal,30,Monday,18:00,18:30,user1
2152,Complete a coding challenge,Education,Important,30,Saturday,11:00,11:30,user1
2153,Play guitar,Personal,Normal,45,Wednesday,20:15,21:00,user1
2154,Project sync-up,Work,Important,30,Monday,9:00,9:30,user1
2155,Weekly team briefing,Work,Important,60,Friday,9:30,10:30,user1
2156,Strategy discussion,Work,Important,45,Friday,11:30,12:15,user1
2157,Watch a movie,Personal,Less Important,30,Friday,20:00,20:30,user1
2158,Attend webinar,Education,Important,60,Tuesday,13:45,14:45,user1
2159,Solve math problems,Education,More Important,45,Tuesday,18:45,19:30,user1
2160,Write a blog post,Personal,Normal,45,Friday,14:15,15:00,user1
2161,Write report,Work,More Important,45,Saturday,14:45,15:30,user1
2162,Practice a new language,Education,Important,45,Thursday,19:45,20:30,user1
2163,Make a scrapbook,Personal,Normal,60,Saturday,17:30,18:30,user1
2164,Mail documents,Personal,More Important,60,Sunday,10:15,11:15,user1
2165,Read comics,Personal,Less Important,60,Saturday,20:30,21:30,user1
2166,One-on-one with supervisor,Work,Important,60,Monday,11:45,12:45,user1
2167,Read research paper,Education,Important,30,Wednesday,11:15,11:45,user1
2168,Mop the floor,Personal,Normal,30,Thursday,17:00,17:30,user1
2169,Read a book,Education,More Important,60,Wednesday,11:00,12:00,user1
2170,Listen to music,Personal,Less Important,30,Sunday,19:45,20:15,user1
2171,Product demo with client,Work,Important,30,Tuesday,14:00,14:30,user1
2172,Product demo with client,Work,Important,45,Tuesday,11:00,11:45,user1
2173,Cross-department alignment,Work,Important,45,Monday,15:15,16:00,user1
2174,Plan weekend gathering,Personal,Less Important,45,Sunday,14:45,15:30,user1
2175,Clean the kitchen,Personal,Normal,60,Thursday,17:30,18:30,user1
2176,Online course session,Education,Important,30,Sunday,8:15,8:45,user1
2177,Design a presentation,Work,More Important,45,Friday,10:00,10:45,user1
2178,Drop off donation,Personal,More Important,60,Sunday,13:30,14:30,user1
2179,Vacuum the floor,Personal,Normal,30,Friday,16:15,16:45,user1
2180,Play games,Personal,Less Important,60,Thursday,20:15,21:15,user1
2181,Sketch a design,Personal,Normal,45,Sunday,18:45,19:30,user1
2182,Water the plants,Personal,Normal,60,Thursday,7:15,8:15,user1
2183,Online course session,Education,Important,60,Thursday,10:45,11:45,user1
2184,Visit pharmacy,Personal,More Important,60,Monday,9:45,10:45,user1
2185,Write a blog post,Personal,Normal,30,Tuesday,14:00,14:30,user1
2186,Complete a coding challenge,Education,Important,30,Tuesday,19:45,20:15,user1
